"","geo_id","Year","ID Race","Race","Income","Household Income by Race Moe","Geography","ID Geography","case_count","hosp_count","death_count","total_hosp_incidental","time_period","Cases_Per_Thousand_Dollar_Income","Income_Level"
"177","53033022802",2019,0,"Total",143163,11380,"Census Tract 228.02, King County, WA","14000US53033022802",978,22,1,13,"Overall",6.83137402820561,"High"
"178","53033022803",2019,0,"Total",125292,15052,"Census Tract 228.03, King County, WA","14000US53033022803",1428,26,9,18,"Overall",11.397375730294,"High"
"179","53033022901",2019,0,"Total",149524,22088,"Census Tract 229.01, King County, WA","14000US53033022901",649,27,8,14,"Overall",4.34044033064926,"High"
"180","53033022902",2019,0,"Total",154449,22885,"Census Tract 229.02, King County, WA","14000US53033022902",1432,30,10,9,"Overall",9.27166896516002,"High"
"181","53033023000",2019,0,"Total",140875,12579,"Census Tract 230, King County, WA","14000US53033023000",1365,26,6,15,"Overall",9.68944099378882,"High"
"182","53033023100",2019,0,"Total",139219,28408,"Census Tract 231, King County, WA","14000US53033023100",915,31,5,11,"Overall",6.57237877013913,"High"
"183","53033023201",2019,0,"Total",96791,10468,"Census Tract 232.01, King County, WA","14000US53033023201",1569,52,12,31,"Overall",16.2101848312343,"High"
"184","53033023202",2019,0,"Total",61314,7010,"Census Tract 232.02, King County, WA","14000US53033023202",1235,79,17,13,"Overall",20.1422187428646,"High"
"185","53033023300",2019,0,"Total",109595,21639,"Census Tract 233, King County, WA","14000US53033023300",1802,59,12,23,"Overall",16.4423559468954,"High"
"186","53033023401",2019,0,"Total",95993,13312,"Census Tract 234.01, King County, WA","14000US53033023401",1788,44,15,11,"Overall",18.62635817195,"High"
